"","X","course","chapter","sequential","vertical","terminal","seq","ver"
"70",69,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@54baadd3723f4de1ae959c148f2fedf3","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@4a39ea6a618b4cd4b45317e997197828","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@34030207dac743b2b471de6693d20138",7,2
"71",70,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@63d2f30ff79f443c8e0c3178ace74d73","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@ed3516aa21f34c8f9b01965051483334","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@793e1f7705474f04b0eebe41d3d61ef3",3,1
"72",71,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@47b6499b1320457f836e8aecf4162d0b","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@fc2c67a37a804cf7862f466591c4b224","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@d01cda053d26407da874ec003bb22add",9,1
"73",72,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@8638abf18a2a42d68bb91f42234cafed","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@2e595f3c02194e9485e6e409c7324d27","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@e97d5235aba140e39a70e4f47d5045c0",10,2
"74",73,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@8638abf18a2a42d68bb91f42234cafed","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@2e595f3c02194e9485e6e409c7324d27","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@c1cf4ed37c9e487299ecd140aa1536ec",10,2
"75",74,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@8aef5d07391a40619cf6d692d4dbc997","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b64145338ce644eb98e24a11915f2c89","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@f5ce9512afbf4cdfa27954cd4d031d00",2,1
"76",75,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@0aad0cce110844cd8a29f0519b7a84e0","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@f52378365435427ca46d9c505b79396b","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@85700600980a4ac0adf5519da789be11",6,2
"77",76,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@0aad0cce110844cd8a29f0519b7a84e0","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@f52378365435427ca46d9c505b79396b","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@9a45faa6029c4369940ea512d93e3e9b",6,2
"78",77,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@54baadd3723f4de1ae959c148f2fedf3","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@42f13db6468a4dce8d357d4dc1879b9e","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@849f16129f8f4eddb5441ad6d3422b6c",7,1
"79",78,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@f0e68faad4b645e28d895c1c06bcec6f","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@df2f90a9ac4047c5bb47faff0b0a316a","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@9c50f6bc575b4c08b0eab874f5c65bb1",8,1
"80",79,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@3876953ce32e446bbd12a14bb87d8869","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@5ff42fa344214ad9baa6bd104b591a3e","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@0b7acdd38d9f45709cc5d76b683c5011",5,3
"81",80,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@3876953ce32e446bbd12a14bb87d8869","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@5ff42fa344214ad9baa6bd104b591a3e","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@0985eb4b8eaf4724b38cd84ed604e111",5,3
"82",81,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@bfc7d7cc654e4ca18db4213d5066e80c","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@ec10c7914e784115ad66e2327ea6ef44","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@c8a735f22b7f4be689ba848693b81a84",11,3
"83",82,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@bfc7d7cc654e4ca18db4213d5066e80c","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@ec10c7914e784115ad66e2327ea6ef44","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@7604178593fb4677ac80f78d0775216d",11,3
"84",83,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@f211eede6a944affad84c1bcb538cd49","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@eb66965d49984882954d2204253191c2","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@a8927a208f2c4e4da6c29806d9be69e3",12,2
"85",84,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@f211eede6a944affad84c1bcb538cd49","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@eb66965d49984882954d2204253191c2","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@424f240d1c234e939d8287174d143614",12,2
"86",85,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@955f176034744f1493aa520f44d39df6","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@3378a23921e14586b33130e84ef44660","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@95cdf1b7ba98451b9915995f4ea4da95",3,2
"87",86,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@e65a2d83a51644c39f179b0e03a2d668","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@66bab48689ed467d8b26e9e724f7659f","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@95e216909a174c51979362afcbaef829",7,2
"88",87,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@3876953ce32e446bbd12a14bb87d8869","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@421ac39270924c88ab1ddf0151d35c8d","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@e0450ffa67a84989b804354081fb6975",5,1
"89",88,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@fabccf9877ad4cdaaf7ab30e29bcf5a9","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@5139738ad01744fc8df2fc783bfba28e","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@a96089f4c4194acfb26ce5f913398b23",4,1
"90",89,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@4e212e4f39e74b40ac9c1e1f36476d0a","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@68193c2c658740b5848e9ad94d89e77f","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@0e660ba404194a3ab790be568b62ec4c",8,2
"91",90,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@d097b9c7450142bf9c7234a7690e03eb","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@d9a442918dd1482aa9278b8caeddacda","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@d56d04e49001422fb10e33f20fa5c903",15,1
"92",91,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@b265d23c48424d89a289583c68dbd27e","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@c15561f70874485cbffea4b5c08c3df0","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@8ecdcf0da12e41bdb167c2c350981db3",9,2
"93",92,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@25a992cc7e11480d8be63f4828f70671","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@02a8f9af7a2e4183b85c0260ed1d78af","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@5e77b5313f1848ce8859da6aacb1930b",11,2
"94",93,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@25a992cc7e11480d8be63f4828f70671","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@69cc018b2b4640a6ae20cba18c482a83","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@ffb1c94b3b6740b2af2ba0031c83ac48",11,1
"95",94,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@eb0aef45d0064e1ca0a5e4026a615ec7","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@242d2f08cdce4964b3251de96c26111b","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@e082d74773b8443ca292a6cec5f0067d",9,5
"96",95,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@eb0aef45d0064e1ca0a5e4026a615ec7","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@242d2f08cdce4964b3251de96c26111b","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@2a18997098694b6294ae7c59358fdc13",9,5
"97",96,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@bfc7d7cc654e4ca18db4213d5066e80c","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@0bc36be1fab541dcb06221444a98e69d","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@9e421217c04a4f8990108b3dd2692ada",11,1
"98",97,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@518c66d1603343168d1589a093e12143","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@cebb1765e23349a491cc621b9873cd6e","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@92422822c7a74731b4556fdc9e07bfee",6,2
"99",98,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@518c66d1603343168d1589a093e12143","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@cebb1765e23349a491cc621b9873cd6e","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@6b12e7fbf7fb4a6282d39a6b9a2fa172",6,2
"100",99,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@5ffa7d0ee931454db1407386884f40e9","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@2f5cb52d97a94a11acd70f4654a95de6","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@00c3a4bf165f448d94fa15bb1af87670",13,3
"101",100,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@5ffa7d0ee931454db1407386884f40e9","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@2f5cb52d97a94a11acd70f4654a95de6","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@be543c8067c64343a1b5fcb51e677175",13,3
"102",101,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@2498cd0969f94186b8a3dac31ba1b07a","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@87d96b0621e74608a182a6b66ddad908","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@8c9e2f2687af4ca3ba6822e0f354569a",4,2
"103",102,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@eb0aef45d0064e1ca0a5e4026a615ec7","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@302183bfa0184e44a41cc7c353d788d4","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@615a00290606432ab424fb823dc0c5fe",9,3
"104",103,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@5ffa7d0ee931454db1407386884f40e9","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@60048c30102244babc44ce3daffa2226","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@6ce2b526a169473db3c67b54690931a4",13,1
"105",104,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@b2ea0eee3dcc46699375fb9032abaa73","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@acf5b21b61b04f4aa3520b1d8ed3d9f7","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@923edb028520438996e323b87933b6e5",3,1
"106",105,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@ba299edbaed24465a7f81dde7b446d2b","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@7f8defcf73d34d40a1fd153c6f45d9af","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@a26cfc2d58754af6beece1beac6011ff",9,2
"107",106,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@3dd23a2fca4c41cca5011a6d4a7aa3cf","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@1240d94186d14000b5412daa56e3bef6","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@78c55c2d00a846b181727ac75aeafcf4",14,1
"108",107,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@997e12f24b334a5f83cd6517dc169a14","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@35b99a3529b048f588a17bd4324ce8c5","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@56bf33be97354eaeb7a7a0d300f1e5cd",4,1
"109",108,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@a3d1564a11ff4f7b9fab9ca463252804","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@84c62e006bc84cba985e74113d26ec1a","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@3bf870cfbf3843b18f8bdec02f6d7dce",11,1
"110",109,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@a3d1564a11ff4f7b9fab9ca463252804","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@84c62e006bc84cba985e74113d26ec1a","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@3386985350bb4964a03a02ac5e39397d",11,1
"111",110,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@a3d1564a11ff4f7b9fab9ca463252804","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@84c62e006bc84cba985e74113d26ec1a","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@5848c7548e804fe4b76b8008ebae9c61",11,1
"112",111,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@53f3c2434533474fabf05ed72ae9b56f","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@f239cd8bad314287b23c84ce1e93f455","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@afbb336ad67c40aa97003a61277c0800",1,1
"113",112,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@4a2fba9577434da59c2cea9cc84c0373","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@27007f4e74d8444e82839bc493ee8925","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@680cdf6b551b4fe1a78409847a383126",13,2
"114",113,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@4a2fba9577434da59c2cea9cc84c0373","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@27007f4e74d8444e82839bc493ee8925","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@97b14b01ebf74d0889aafa1868a3d55a",13,2
"115",114,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@0aad0cce110844cd8a29f0519b7a84e0","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@2049c735c2f04c11a8cf7516dcbbf747","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@a5fe5a8ea07c4cb7b50096d4809740bd",6,1
"116",115,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@1a1bf55631374283a92c1588b5dfabfb","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@0cb5eaa39b764f77a9dc80d5c457257c","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@2f8ce973cbea42d3b31917267c37ec08",5,1
"117",116,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6413176fefc646899275a81efec069e3","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@c593e987d302491d9de853b92bd18849","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@a1767490360a44bfb409f84309e63b46",4,3
"118",117,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@1942685cb26f40f1bbb57891713acde0","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@1e5f2ba4bc8748bb87a64d979baa465d","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@ea3dcc7945f349b7ba63384da98243e2",10,1
"119",118,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@955f176034744f1493aa520f44d39df6","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@a3174ea3cb4b4874af2d5c0f39401721","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@2d2c5659a81b4c4493cc82479038b788",3,3
"120",119,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@955f176034744f1493aa520f44d39df6","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@a3174ea3cb4b4874af2d5c0f39401721","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@c5b02b3c0cab4650b064e693fe020bf4",3,3
"121",120,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@47b6499b1320457f836e8aecf4162d0b","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@c6c96a8ac57b4fd9b4aa68d3216b1fee","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@49da536e21114606858abece06144a13",9,2
"122",121,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@47b6499b1320457f836e8aecf4162d0b","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@c6c96a8ac57b4fd9b4aa68d3216b1fee","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@b4c487fb4f77450f9b8b77aabecf3418",9,2
"123",122,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6e4cabeeddce4794a9a3a31f1ebf68d4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@6eb6566f363c4ad59c5a1ad7c2678051","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@a3017904557f49bba40e68cfd38ca374",5,3
"124",123,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6e4cabeeddce4794a9a3a31f1ebf68d4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@6eb6566f363c4ad59c5a1ad7c2678051","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@2261d61d45404032bb79867a775a3e7c",5,3
"125",124,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@0b7a1041b6c7477a8de54e6d7f4597d1","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@e67c4678e56745d6ad27284d21760d27","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@6a996072efdf4f759cb1067fde521b61",3,1
"126",125,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@ba299edbaed24465a7f81dde7b446d2b","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@3e42bb9aa4b64ee38616686040801d9a","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@3bab22c5c34e4316b47dcb559596a9f4",9,1
"127",126,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@075891b9caaa4002b62d7965b74728c4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@6b0e4aa3b96a46b4af442504cc5df00d","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@c9bbd49533aa43c5a55fc35550d653b7",7,3
"128",127,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@075891b9caaa4002b62d7965b74728c4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@6b0e4aa3b96a46b4af442504cc5df00d","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@525dc3a15f6c425d9c7e88f3f218186d",7,3
"129",128,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6581c8e02f0e4bc2ab7ef43e285db356","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@be5b1322af9541bb929f0a430dc9a1ab","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@da966be6deff48869cd1f5ed7d32a4b6",12,1
"130",129,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@8e987710187342fc9b41a5bf1b3ab6a3","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@e3fc7800e4c34c2992105df397bfb6e9","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@9e0b84a74cc14d16817f5026d3416d54",11,1
"131",130,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6c9cf4daa4be4cb5987afb447b06b971","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b747b61fc3794f54afcb099595f7f1db","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@a7ebb22eb5374537846c156b88d79da6",10,1
"132",131,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6c9cf4daa4be4cb5987afb447b06b971","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b747b61fc3794f54afcb099595f7f1db","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@e5ce0ae768894afc80cb320b48ca5b3b",10,1
"133",132,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@71fb541816b24dde87103db6ed18ac60","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b639b2b4998f480cbc27cbd23b4034c1","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@81781aa3a7f44203b76e89c5ca6d46dd",5,1
"134",133,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@f6ed9233b5bb472aa5a776d838e06642","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@bb646ea496774ab18d3ca83a99bef3b4","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@9f538688bcad4d3c840f2c204ccee84b",16,1
"135",134,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@f6ed9233b5bb472aa5a776d838e06642","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@bb646ea496774ab18d3ca83a99bef3b4","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@b3d42915b1dc414ba29657e9d55cf572",16,1
"136",135,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6eb57c3fb752491c9355363ed9b3e277","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@d64f5701d3e44fbdb93f9ecab5eab86d","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@1b7a865f486542bfbcc2ac2380fd1cdd",1,1
"137",136,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@daf3ed8b63154f85a2e9339cf2f99a98","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@488c540725244167a653b4e97b16d929","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@41380ed6058b47739463d6c10f1003f8",9,2
"138",137,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@daf3ed8b63154f85a2e9339cf2f99a98","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@488c540725244167a653b4e97b16d929","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@2870e078da044146a16ce9338b9fef56",9,2
"139",138,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@10857aaed5ab4e7a80fb46e9246ca174","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@27d55c45af694affabb8dd5fe610bfc3","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@a1fe279386774c4b899780c2909ac3fd",8,1
