"","X","course","chapter","sequential","vertical","terminal","seq","ver"
"16",15,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@3dd23a2fca4c41cca5011a6d4a7aa3cf","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@8bfcbddf103d45859f4bc6b7ca23fcdc","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@b0b4447bba0f4cadb4d48119125ab6bc",14,2
"17",16,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@10857aaed5ab4e7a80fb46e9246ca174","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@5a46b47ed1644e34bde4844955dc2505","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@bc1c4863c65f482f8b7002065955bae2",8,2
"18",17,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@10857aaed5ab4e7a80fb46e9246ca174","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@5a46b47ed1644e34bde4844955dc2505","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@64b7e2de0f22428b9bf49d819527ae92",8,2
"19",18,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@5d50dbb2a09d4ff9891e9dcdf8b54f92","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@9010db1e69474fae8d3c42c500771ab2","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@0c3f23fde5a04a7e9a41f0dd5f5e23ff",17,1
"20",19,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@85fcdb5eb4d4464097bf0d36de0cd4fb","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@aca09bc05f3b419181497465c4a00e67","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@ced3e3c9bff4443188e5af4582df3a20",2,3
"21",20,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@30c21ccfd60c471c94b2c713d58c36f7","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@0e96ae6f944b472f9b43a2a2c04d425e","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@ea278e7f03294f5fb83d49a87761c071",10,1
"22",21,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@2498cd0969f94186b8a3dac31ba1b07a","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@9be46e517ec1469797ae64b6343b47b1","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@d683c2d2c91c4a5c8bb039445395d986",4,4
"23",22,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@2498cd0969f94186b8a3dac31ba1b07a","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@9be46e517ec1469797ae64b6343b47b1","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@3108483305094d5897438aacebf68cfb",4,4
"24",23,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@0c0745b7de6142eeb00ca749c8fab20d","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@3a7c2b22480f4ce68073a4edd9c07b9e","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@c6df2d1c6f0c4ffd96987d36b72e24f4",11,1
"25",24,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@85fcdb5eb4d4464097bf0d36de0cd4fb","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@cdd836b2a69247bfa60e92f1765de618","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@e797d04275af41068f07430ff989b1ad",2,1
